As Of Date,Futures Based On,Futures Month,Futures Year,Unfixed Call Sales (Contracts),Sales Change From Previous Week,Unfixed Call Purchases (Contracts),Purchases Change From Previous Week,Open Futures Contracts at Close,Open Change From Previous Week
2026-07-02,July 2026,July,2026,0,0,0,0,56,-19
2026-07-02,October 2026,October,2026,0,0,0,0,166,6
2026-07-02,December 2026,December,2026,29694,1315,45250,56,204050,3955
2026-07-02,March 2027,March,2027,15386,590,6320,172,55573,786
2026-07-02,May 2027,May,2027,5165,-84,738,0,17150,1720
2026-07-02,July 2027,July,2027,8273,220,29,0,11496,1121
2026-07-02,October 2027,October,2027,0,0,0,0,5,0
2026-07-02,December 2027,December,2027,4388,-165,22113,462,19433,557
2026-07-02,March 2028,March,2028,1189,27,113,0,411,26
2026-07-02,May 2028,May,2028,518,0,50,0,24,0
2026-07-02,July 2028,July,2028,265,0,0,0,2,0
2026-07-02,December 2028,December,2028,0,0,1726,309,2,0
2026-07-02,December 2029,December,2029,0,0,508,0,0,0
2026-07-02,December 2030,December,2030,0,0,58,0,0,0
2026-07-02,December 2031,December,2031,0,0,52,0,0,0
2026-07-02,Totals,,,64878,1903,76957,999,308368,8152
