"As Of Date","Futures Based On","Futures Month","Futures Year","Unfixed Call Sales (Contracts)","Sales Change From Previous Week","Unfixed Call Purchases (Contracts)","Purchases Change From Previous Week","Open Futures Contracts at Close","Open Change From Previous Week","Source File","DTE","MY"
"2025-12-26","March 2026","March","2026","20639","522","33206","-1419","179191","-3128","deaoncall010226.html","65","2025"
"2025-12-26","May 2026","May","2026","8750","-144","3610","71","48637","398","deaoncall010226.html","126","2025"
"2025-12-26","July 2026","July","2026","8874","132","3040","-9","35094","576","deaoncall010226.html","187","2025"
"2025-12-26","October 2026","October","2026","0","0","0","0","25","-1","deaoncall010226.html","279","2026"
"2025-12-26","December 2026","December","2026","6246","86","46028","309","35590","1563","deaoncall010226.html","340","2026"
"2025-12-26","March 2027","March","2027","1953","11","148","0","1241","711","deaoncall010226.html","430","2026"
"2025-12-26","May 2027","May","2027","565","-13","50","0","116","7","deaoncall010226.html","491","2026"
"2025-12-26","July 2027","July","2027","886","-16","0","0","175","3","deaoncall010226.html","552","2026"
"2025-12-26","December 2027","December","2027","265","0","1997","0","464","93","deaoncall010226.html","705","2027"
"2025-12-26","March 2028","March","2028","0","0","0","0","1","0","deaoncall010226.html","796","2027"
"2025-12-26","May 2028","May","2028","0","0","0","0","2","0","deaoncall010226.html","857","2027"
"2025-12-26","July 2028","July","2028","0","0","0","0","1","0","deaoncall010226.html","918","2027"
"2025-12-26","December 2028","December","2028","0","0","503","0","0","0","deaoncall010226.html","1071","2028"
"2025-12-26","December 2029","December","2029","0","0","445","0","0","0","deaoncall010226.html","1436","2029"
"2025-12-26","Totals","","","48178","578","89027","-1048","300537","222","deaoncall010226.html","",""
"2024-12-27","March 2025","March","2025","17792","-212","35806","206","132150","-3321","deaoncall010325.html","64","2024"
"2024-12-27","May 2025","May","2025","9539","60","4601","-468","47656","509","deaoncall010325.html","125","2024"
"2024-12-27","July 2025","July","2025","13265","193","1712","-30","27429","-1114","deaoncall010325.html","186","2024"
"2024-12-27","October 2025","October","2025","0","0","0","0","59","-1","deaoncall010325.html","278","2025"
"2024-12-27","December 2025","December","2025","4855","90","37959","-2","28002","294","deaoncall010325.html","339","2025"
"2024-12-27","March 2026","March","2026","1387","44","144","0","1179","3","deaoncall010325.html","429","2025"
"2024-12-27","May 2026","May","2026","437","39","50","0","216","8","deaoncall010325.html","490","2025"
"2024-12-27","July 2026","July","2026","464","26","0","0","112","0","deaoncall010325.html","551","2025"
"2024-12-27","October 2026","October","2026","0","0","0","0","1","0","deaoncall010325.html","643","2026"
"2024-12-27","December 2026","December","2026","88","0","2614","45","183","-3","deaoncall010325.html","704","2026"
"2024-12-27","March 2027","March","2027","132","0","0","0","0","0","deaoncall010325.html","794","2026"
"2024-12-27","May 2027","May","2027","88","0","0","0","0","0","deaoncall010325.html","855","2026"
"2024-12-27","July 2027","July","2027","44","0","0","0","0","0","deaoncall010325.html","916","2026"
"2024-12-27","Totals","","","48091","240","82886","-249","236987","-3625","deaoncall010325.html","",""
"2023-12-29","March 2024","March","2024","26159","159","21368","402","92771","-1963","deaoncall010424.html","63","2023"
"2023-12-29","May 2024","May","2024","13113","16","3270","-14","42509","-316","deaoncall010424.html","124","2023"
"2023-12-29","July 2024","July","2024","17571","181","3135","-251","31802","1678","deaoncall010424.html","185","2023"
"2023-12-29","October 2024","October","2024","0","0","0","0","36","0","deaoncall010424.html","277","2024"
"2023-12-29","December 2024","December","2024","7854","39","31662","416","25145","-336","deaoncall010424.html","338","2024"
